IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.151.142.151,8443,443,true,YYZ,North America,Toronto,220,6.03
20.240.193.124,2053,443,true,ARN,Europe,Stockholm,183,4.85
191.237.205.178,443,0,false,GRU,South America,São Paulo,335,3.83
191.237.202.255,443,0,false,GRU,South America,São Paulo,343,3.56
20.203.143.112,2095,80,false,MXP,Europe,Milan,150,3.19
20.203.143.114,2083,80,false,MXP,Europe,Milan,149,3.18
20.203.143.112,2082,80,false,MXP,Europe,Milan,149,3.16
20.203.143.114,2096,80,false,MXP,Europe,Milan,149,3.16
20.203.143.114,2052,80,false,MXP,Europe,Milan,150,3.10
20.203.143.117,2053,80,false,MXP,Europe,Milan,149,3.06
20.203.143.114,2053,80,false,MXP,Europe,Milan,150,3.06
20.203.143.114,2086,80,false,MXP,Europe,Milan,149,3.06
20.203.143.114,2087,80,false,MXP,Europe,Milan,149,3.04
20.203.143.114,2082,80,false,MXP,Europe,Milan,150,3.03
20.203.143.117,2096,80,false,MXP,Europe,Milan,150,2.97
20.203.143.117,2083,80,false,MXP,Europe,Milan,150,2.97
20.203.143.117,2095,80,false,MXP,Europe,Milan,149,2.94
20.203.143.117,2087,80,false,MXP,Europe,Milan,149,2.93
20.203.143.112,2052,80,false,MXP,Europe,Milan,150,2.93
20.203.143.117,2052,80,false,MXP,Europe,Milan,149,2.91
20.203.143.112,2083,80,false,MXP,Europe,Milan,149,2.91
20.203.143.112,2053,80,false,MXP,Europe,Milan,149,2.86
20.203.143.114,2095,80,false,MXP,Europe,Milan,150,2.85
20.203.143.112,2096,80,false,MXP,Europe,Milan,149,2.81
20.203.143.117,2082,80,false,MXP,Europe,Milan,149,2.81
20.203.143.112,2086,80,false,MXP,Europe,Milan,150,2.79
20.203.143.112,2087,80,false,MXP,Europe,Milan,150,2.79
20.203.143.117,2086,80,false,MXP,Europe,Milan,150,2.76
51.107.211.178,2053,80,false,CPH,Europe,Copenhagen,174,2.71
51.107.211.177,2096,80,false,CPH,Europe,Copenhagen,174,2.69
51.107.211.178,2083,80,false,CPH,Europe,Copenhagen,173,2.67
51.107.211.178,2095,80,false,CPH,Europe,Copenhagen,173,2.67
